App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Size_MB
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381624,54M,"10,000,000+",Free,0.0,Teen,Action,"March 14, 2017",3.1.1,3.0 and up,0.022312567688483907,54.0
AP Mobile - Breaking News,NEWS_AND_MAGAZINES,4.5,76616,4.6M,"1,000,000+",Free,0.0,Everyone 10+,News & Magazines,"May 25, 2017",4.4.3,4.0 and up,0.1951159148207759,4.6
Choices: Stories You Play,FAMILY,4.6,807155,93M,"10,000,000+",Free,0.0,Teen,Simulation,"July 30, 2018",2.3.5,4.0.3 and up,0.03367840233861161,93.0
Avakin Life - 3D virtual world,FAMILY,4.4,1275373,91M,"10,000,000+",Free,0.0,Teen,Role Playing,"July 3, 2018",1.021.10,4.1 and up,0.08085916643028912,91.0
DEER HUNTER 2018,GAME,4.3,955614,82M,"10,000,000+",Free,0.0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up,-0.3833333333333333,82.0
British Airways,TRAVEL_AND_LOCAL,4.2,25726,51M,"1,000,000+",Free,0.0,Everyone,Travel & Local,"July 24, 2018",4.20,4.4 and up,0.20510616367759224,51.0
Anthem BC Anywhere,MEDICAL,2.6,496,24M,"100,000+",Free,0.0,Everyone,Medical,"July 27, 2018",8.0.226,4.4 and up,-0.12323348694316437,24.0
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3156484,53M,"100,000,000+",Free,0.0,Everyone,Photography,"July 31, 2018",6.9.031,4.1 and up,0.3,53.0
Blur Image Background,PHOTOGRAPHY,3.9,129268,11M,"10,000,000+",Free,0.0,Everyone,Photography,"July 30, 2018",1.32,4.1 and up,0.372717803030303,11.0
HBO GO: Stream with TV Package,FAMILY,3.8,87734,32M,"10,000,000+",Free,0.0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up,-0.055652711720192906,32.0
Blood Pressure,MEDICAL,4.2,33033,7.4M,"5,000,000+",Free,0.0,Everyone,Medical,"July 24, 2018",3.27.3,4.1 and up,0.44494301994301994,7.4
Blood Pressure Log - MyDiary,MEDICAL,4.7,8347,2.6M,"500,000+",Free,0.0,Everyone,Medical,"April 13, 2018",1.4.6,4.0 and up,0.32505491150053645,2.6
Blood Pressure(BP) Diary,MEDICAL,3.7,3596,8.4M,"1,000,000+",Free,0.0,Everyone,Medical,"July 18, 2018",4.0.9,4.0.3 and up,0.08768325424575425,8.4
High Blood Pressure Symptoms,MEDICAL,4.3,46,2.0M,"10,000+",Free,0.0,Everyone,Medical,"April 5, 2017",1.0.2,4.0.3 and up,0.4195335960960961,2.0
Beautiful Widgets Free,PERSONALIZATION,3.9,25035,14M,"1,000,000+",Free,0.0,Everyone,Personalization,"October 20, 2016",5.7.6,2.3 and up,0.013460700757575748,14.0
Color by Number – New Coloring Book,GAME,4.7,142308,24M,"5,000,000+",Free,0.0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up,0.16885633604383601,24.0
BZWBK24 mobile,FINANCE,4.5,64983,39M,"1,000,000+",Free,0.0,Everyone,Finance,"June 18, 2018",5.0.1,4.1 and up,0.3268825522303783,39.0
Cheapflights – Flight Search,TRAVEL_AND_LOCAL,4.4,47777,19M,"5,000,000+",Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,0.42191239316239315,19.0
"CM Launcher 3D - Theme, Wallpapers, Efficient",PERSONALIZATION,4.6,6700847,17M,"100,000,000+",Free,0.0,Teen,Personalization,"August 3, 2018",5.41.0,4.0.3 and up,0.2824789562289562,17.0
"CM Flashlight (Compass, SOS)",TOOLS,4.4,166363,1.8M,"5,000,000+",Free,0.0,Everyone,Tools,"May 25, 2018",1.4.0,2.3 and up,0.55625,1.8
Brit + Co,LIFESTYLE,3.9,987,4.5M,"10,000+",Free,0.0,Everyone,Lifestyle,"August 29, 2017",2.0.4,4.0 and up,0.12312466179653678,4.5
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4571,3.9M,"500,000+",Free,0.0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.3937034821903243,3.9
CW Seed,FAMILY,4.5,16391,13M,"500,000+",Free,0.0,Teen,Entertainment,"July 18, 2018",1.16,4.4 and up,0.3055693342151675,13.0
"Face Filter, Selfie Editor - Sweet Camera",PHOTOGRAPHY,4.7,142758,22M,"10,000,000+",Free,0.0,Everyone,Photography,"July 6, 2018",1.5.1,4.4 and up,0.19428104575163396,22.0
COOKING MAMA Let's Cook!,FAMILY,4.3,528917,59M,"10,000,000+",Free,0.0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up,0.21892208651137224,59.0
DRAGON BALL LEGENDS,GAME,4.6,338742,48M,"5,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up,0.0995493397768312,48.0
DC Super Hero Girls™,FAMILY,4.3,43090,95M,"5,000,000+",Free,0.0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up,0.33400902406417116,95.0
Babbel – Learn Languages,FAMILY,4.3,267787,21M,"10,000,000+",Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3916361531986532,21.0
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483782,20M,"10,000,000+",Free,0.0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.3907407407407408,20.0
"Free phone calls, free texting SMS on free number",SOCIAL,4.5,412888,35M,"10,000,000+",Free,0.0,Everyone,Social,"July 31, 2018",3.8.1,4.1 and up,0.22960420173961837,35.0
Dude Perfect 2,GAME,4.5,401648,70M,"10,000,000+",Free,0.0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,0.1169023559743807,70.0
Dairy Queen,FOOD_AND_DRINK,3.6,742,43M,"100,000+",Free,0.0,Everyone,Food & Drink,"July 25, 2018",2.1.0,4.1 and up,0.1894097222222222,43.0
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68270,66M,"1,000,000+",Free,0.0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up,0.1965599297808238,66.0
Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759815,15M,"100,000,000+",Free,0.0,Everyone,Tools,"July 25, 2018",3.1.2,4.0 and up,0.27852109695859695,15.0
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133539,4.7M,"10,000,000+",Free,0.0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.17726609823708034,4.7
Equestria Girls,FAMILY,4.3,392819,53M,"10,000,000+",Free,0.0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",37893,4.0 and up,0.04380837742165866,53.0
Edmodo,FAMILY,4.1,200214,18M,"10,000,000+",Free,0.0,Everyone,Education,"August 6, 2018",9.12.6,4.0.3 and up,0.40415553494124923,18.0
Frozen Free Fall,FAMILY,4.3,1574546,37M,"50,000,000+",Free,0.0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,0.06010569985569984,37.0
Google News,NEWS_AND_MAGAZINES,3.9,878065,13M,"1,000,000,000+",Free,0.0,Teen,News & Magazines,"August 1, 2018",5.2.0,4.4 and up,0.09391674022626403,13.0
Amino: Communities and Chats,SOCIAL,4.8,1264084,62M,"10,000,000+",Free,0.0,Teen,Social,"August 7, 2018",1.8.19179,4.0.3 and up,0.04758960435151364,62.0
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,432160,15M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device,0.3383518564768565,15.0
Airway Ex - Intubate. Anesthetize. Train.,MEDICAL,4.3,123,86M,"10,000+",Free,0.0,Everyone,Medical,"June 1, 2018",0.6.88,5.0 and up,0.22094190098096347,86.0
FilterGrid - Cam&Photo Editor,PHOTOGRAPHY,4.6,126338,9.6M,"1,000,000+",Free,0.0,Everyone,Photography,"March 15, 2017",2.0.5,4.0 and up,0.09263994537208824,9.6
All Social Networks,SOCIAL,4.2,22650,1.5M,"1,000,000+",Free,0.0,Everyone,Social,"May 21, 2018",2.4.12,4.0 and up,-0.10641024212715389,1.5
Farm Heroes Saga,FAMILY,4.4,7615646,71M,"100,000,000+",Free,0.0,Everyone,Casual,"August 7, 2018",5.2.6,2.3 and up,-0.011810531860815964,71.0
Fallout Shelter,FAMILY,4.6,2721923,25M,"10,000,000+",Free,0.0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up,0.17023214882331378,25.0
Garena Free Fire,GAME,4.5,5534114,53M,"100,000,000+",Free,0.0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,0.071157869556908,53.0
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36981,4.0M,"1,000,000+",Free,0.0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.2092485894097222,4.0
